Analysis Name,Condition,pH,EC(S) (uS/cm),P (ppm),K (ppm),Ca (ppm),Mg (ppm),Mn (ppm),S (ppm),Cu (ppm),B (ppm),Zn (ppm),Na (ppm),Fe (ppm),C.E.C (meq/100g),N (%),T-C (%),%Sand (%),%Silt (%),%Clay (%),Ca% (%),Mg% (%),K% (%),Na% (%),OB% (%),H% (%),Ca:Mg (%),Latitude,Longitude,Region,Texture,Recommandation
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.85,26.1,24.5,68.6,163.0,35.5,9.19,4.34,< 0.20,0.19,0.60,21.0,36.2,1.84,0.037,0.54,95.0,4.28,0.72,44.2,16.1,9.55,4.96,5.7,19.5,2.75,15.49512,-16.21686,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.29,15.4,18.4,96.2,132.0,28.1,7.74,4.22,0.28,0.16,0.50,20.6,40.7,2.16,0.036,0.4,70.0,28.9,1.08,30.5,10.8,11.4,4.14,6.82,36.3,2.82,15.49512,-16.21686,Louga,Sable limoneux,Ajouter un peu de matière organique pour équilibrer la rétention d'eau et la perméabilité.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.29,32.7,6.55,59.2,177.0,43.1,12.4,3.16,< 0.20,0.22,0.46,17.1,32.4,1.75,0.029,0.37,95.0,3.92,1.08,50.7,20.6,8.7,4.26,5.11,10.7,2.46,15.49474,-16.21881,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.41,42.4,9.95,64.2,217.0,52.2,16.2,3.94,0.22,0.25,0.61,18.5,38.5,2.05,0.026,0.32,95.0,3.92,1.08,53.0,21.2,8.04,3.93,4.99,8.85,2.49,15.49474,-16.21881,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,5.78,18.8,8.03,39.4,277.0,60.3,6.32,4.44,0.32,0.21,0.67,15.0,49.4,2.83,0.012,0.12,95.0,4.28,0.72,48.9,17.8,3.57,2.3,5.84,21.6,2.76,15.48709,-16.22469,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.39,35.4,10.3,53.5,301.0,68.0,11.8,3.95,0.25,0.25,0.40,10.8,45.4,2.63,0.011,0.11,95.0,4.28,0.72,57.3,21.6,5.22,1.79,5.01,9.15,2.66,15.48709,-16.22469,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.58,30.6,12.5,51.9,399.0,92.3,16.2,4.25,0.35,0.21,0.47,12.3,57.3,3.32,0.012,0.12,95.0,4.28,0.72,60.1,23.2,4.01,1.61,4.82,6.3,2.59,15.49155,-16.22408,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,6.23,18.9,8.48,37.7,468.0,95.7,15.2,4.49,0.31,0.19,0.22,7.93,52.3,3.92,< 0.01,0.085,95.0,4.28,0.72,59.6,20.3,2.46,0.88,5.17,11.6,2.93,15.49155,-16.22408,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.15,61.5,20.8,100,987.0,155.0,31.0,6.45,0.57,0.32,0.47,19.6,69.2,6.86,0.015,0.16,90.4,3.92,5.72,71.9,18.8,3.74,1.24,4.25,0.0,3.82,15.4926,-16.22318,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Dry,7.78,87.0,24.6,48.2,1670.0,157.0,34.2,6.97,0.62,0.25,0.35,12.4,69.3,10.2,0.015,0.15,90.4,3.92,5.72,81.8,12.8,1.21,0.53,3.62,0.0,6.38,15.4926,-16.22318,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
