DateCreated_GMT,LandUse,Grazed,GrazingAnimals,Flooding,Slope,SlopeShape,BedrockDepth,RockFragments0-1cm,Texture0-1cm,SoilColor0_1cm_rgb,RockFragments1-10cm,Texture1-10cm,SoilColor1_10cm_rgb,RockFragments10-20cm,Texture10-20cm,SoilColor10_20cm_rgb,RockFragments20-50cm,Texture20-50cm,SoilColor20_50cm_rgb,RockFragments50-70cm,Texture50-70cm,SoilColor50_70cm_rgb,RockFragments70-100cm,Texture70-100cm,SoilColor70_100cm_rgb,RockFragments100-120cm,Texture100-120cm,SoilColor100_120cm_rgb,VerticalCracking,SurfaceSalt,DepthToLimitingLayer,WaterTableDepth,LimeRequired,SurfaceRockCover,LCC_Class,PhotoSoilPit_url,PhotoSoilSample_url,PhotoLandscapeNorth_url,PhotoLandscapeEast_url,PhotoLandscapeSouth_url,PhotoLandscapeWest_url,Elevation_m,FAOGrowingPeriodLength_days,AridityIndex,Notes,LocationRanKEDSoil,Region,Texture,Recommandation
44980.0,0.686111111111111,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,moderate,6-10%,"LINEAR,",SAND,SAND,SAND,LOAMY,SAND,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Worse,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44980.0,0.686111111111111,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,moderate,6-10%,"LINEAR,",SAND,SAND,SAND,LOAMY,SAND,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Worse,yield,yield,yield,yield,yield,yield,Louga,Sable limoneux,Ajouter un peu de matière organique pour équilibrer la rétention d'eau et la perméabilité.
44980.0,0.7076388888888889,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SAND,LOAMY,SAND,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Worse,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44980.0,0.7076388888888889,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SAND,LOAMY,SAND,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Worse,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44980.0,0.7263888888888888,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",0-1%,SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,Faible,rendement,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44980.0,0.7263888888888888,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,"LINEAR,",0-1%,SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,Faible,rendement,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44980.0,0.7534722222222222,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Worse,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44980.0,0.7534722222222222,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Worse,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44980.0,0.761111111111111,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44980.0,0.761111111111111,TREE,TRUE,",CATTLE,GOAT,HORSE,SHEEP",Rare,to,Occasional,flat,0-2%,",LINEAR",SAND,SAND,SANDY,LOAM,SANDY,LOAM,No,cracking,No,salt,100,120,Little,or,no,lime,required,50,to,0.9,7s-r,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,Worse,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44980.0,0.7958333333333333,TREE,TRUE,"CATTLE,GOAT,HORSE,SHEEP",flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,LOAM,No,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Little,or,no,Worse,yield,to,to,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
44980.0,0.7958333333333333,TREE,TRUE,"CATTLE,GOAT,HORSE,SHEEP",flat,0-2%,"LINEAR,",SAND,SAND,SANDY,LOAM,SANDY,LOAM,LOAM,No,undefined,undefined,undefined,undefined,undefined,undefined,undefined,Little,or,no,Worse,yield,to,to,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,yield,yield,yield,yield,yield,yield,yield,Louga,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
